PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
HVAC System Upgrade,,Completed,,,0,,,BPL,0,,,,,,,,,,
Lighting System Upgrade,,Completed,,,0,,,,76.48,,,,,,,,,,
Lighting System Upgrade,,Completed,,,0,,,,37.19,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,,,DCAS,"2,060.41",,,,,,,,,,
Other,Retro-commissioning,Proposed,,,0,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,0,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,0,,,DFMC,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,24-May-07,19-Dec-07,209,Dfmc Shops - 390 Kent Avenue,"BROADWAY KENT AVE & SOUTH 6TH ST   SHOPS, 390 Kent Avenue",DCAS,48.96,,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,Queens Borough Hall120-55 Queens Blvd,,DCAS,0,,,,,,,,,,
Lighting System Upgrade,,Completed,,,0,Interior Lighting CFLs - Various Cultural Institutions,Various,DCLA,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,0,New York Aquarium - 502 Surf Avenue,"Boardwalk @ West 8th Street, 502 Surf Ave",DCLA,219.89,,,,,,,,,,
