PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
Comprehensive,Retrofit,Design,,,0,DOE Offices,65 Court Street,DOE,87.37,11201,BROOKLYN ,40.692012,-73.991227,2,33,9,3002557,3002660020,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,14-Oct-11,261,101st Precinct,"1612 Mott Avenue, or 16-12 Mott Avenue",NYPD,20.56,11691,QUEENS   ,40.602862,-73.750278,14,31,103202,4298231,4155570004,Far Rockaway-Bayswater                                                     
Comprehensive,Retrofit,Design,,,0,K126 - John Ericson Junior High School,424 Leonard St,DOE,295.13,11222,BROOKLYN ,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
Lighting System Upgrade,Retrofit,Completed,9-Apr-12,28-Sep-12,172,Leonard Branch Library,81 Devoe Street,BPL,15.1,11211,BROOKLYN ,40.713456,-73.947916,1,34,503,3068818,3027620021,East Williamsburg                                                          
Other,Retro-commissioning,Survey,,,0,The Eileen E. Zaglin,1075 Ocean View Avenue,DOE,0,11235,BROOKLYN ,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
Energy Audit,None,Completed,16-Aug-11,6-Mar-12,203,Manhattan Civil Court,111 Centre Street,DCAS,0,10013,MANHATTAN,40.716317,-74.001277,1,1,31,1001833,1001690010,SoHo-TriBeCa-Civic Center-Little Italy                                     
Energy Audit,None,Completed,18-Jul-12,4-Sep-12,48,Staten Island Borough Hall,215 East 161st Street,DCAS,"1,400.19",,,,,,,,,,
Other,Retro-commissioning,Survey,,,0,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,0,10466,BRONX    ,40.884953,-73.840524,12,12,484,2066190,2049350001,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Completed,29-Dec-09,8-Jul-10,191,P.S. 214Q,31-15 140th St.,DOE,53.86,11354,QUEENS   ,40.770387,-73.828617,7,20,88901,4100846,4044130020,Flushing                                                                   
Lighting System Upgrade,Retrofit,Completed,13-May-08,9-Mar-09,300,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),"61 West 183rd Street, 2280 Aqueduct Avenue",DOE,60.54,,,,,,,,,,
HVAC System Upgrade,Retrofit,Substantially Completed,4-Apr-12,,0,Fleet Services Shop,654 West 158th Street,DOT,263.59,10032,MANHATTAN,40.836,-73.947567,12,7,241,1087614,1021340218,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,12-Feb-10,24-Nov-10,285,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,421 EMPIRE BOULEVARD,NYPD,64.13,11225,BROOKLYN ,40.664113,-73.947763,9,35,331,3034563,3013100001,Crown Heights South                                                        
Lighting System Upgrade,Retrofit,Design,,,0,P.S. 044 Thomas C. Brown,80 Maple Parkway,DOE,0,10303,STATEN IS,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Other,Retro-commissioning,Survey,,,0,K279 - Herman Schreiber,1076 East 104th Street,DOE,0,11236,BROOKLYN ,40.644139,-73.892192,18,46,986,3326733,3082300001,Canarsie                                                                   
Other,Retro-commissioning,Survey,,,0,DOE Offices,65 Court Street,DOE,0,11201,BROOKLYN ,40.692012,-73.991227,2,33,9,3002557,3002660020,Brooklyn Heights-Cobble Hill                                               
Energy Audit,None,Completed,6-Feb-12,29-Jun-12,144,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73,11354,QUEENS   ,40.769692,-73.847197,7,19,907,,,College Point                                                              
Lighting System Upgrade,Retrofit,Completed,11-Mar-11,20-Dec-11,284,23K275 - 985 Rockaway Avenue,985 Rockaway Ave,DOE,153.36,11212,BROOKLYN ,40.656068,-73.907245,16,42,922,3082940,3036360007,Brownsville                                                                
Lighting System Upgrade,Retrofit,Completed,3-Dec-10,11-Feb-11,70,44 Beaver Street,44 Beaver Street,DSNY,103.74,10004,MANHATTAN,40.705079,-74.010766,1,1,9,1000850,1000290073,Battery Park City-Lower Manhattan                                          
Energy Audit,None,In Progress,8-Aug-12,,0,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,0,11211,BROOKLYN ,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      
Energy Audit,None,Completed,18-Mar-10,1-Sep-10,167,Brooklyn High School of the Arts,345 Dean Street,DOE,23.32,11217,BROOKLYN ,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Energy Audit,None,Completed,6-Feb-12,21-Jun-12,136,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8,10466,BRONX    ,40.888188,-73.826903,12,12,456,2090261,2049740028,Eastchester-Edenwald-Baychester                                            
HVAC System Upgrade,Retrofit,Design,1-Feb-11,,0,Snug Harbor,1000 Richmond Terrace,DCLA,0,10310,STATEN IS,40.645232,-74.104674,1,49,97,5000000,5000760200,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,14-Oct-10,16-Mar-12,519,M217 - PS 217M,645 Main Street,DOE,627.8,10044,MANHATTAN,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
Other,Retro-commissioning,Survey,,,0,J.H.S.220K John J. Pershing,4812 9th Avenue,DOE,0,11220,BROOKLYN ,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East                                                           
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,9-Dec-11,317,114th Precinct,34-16 ASTORIA BOULEVARD,NYPD,57.26,11103,QUEENS   ,40.769581,-73.915593,1,22,6501,4009361,4006320030,Astoria                                                                    
Lighting System Upgrade,Retrofit,Completed,3-Aug-09,4-Feb-10,185,Manhattan Health Building - 125 Worth St.,125 Worth Street,DCAS,150.25,10013,MANHATTAN,40.715428,-74.002673,1,1,31,1001831,1001680032,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,0,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73,11354,QUEENS   ,40.769692,-73.847197,7,19,907,,,College Point                                                              
Other,Retro-commissioning,Survey,,,0,K 251 Paerdegat,1037 East 54th Street,DOE,0,11234,BROOKLYN ,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  
HVAC System Upgrade,Retrofit,Substantially Completed,15-Apr-12,,0,Queens Borough Hall,120-55 Queens Blvd,DCAS,"2,373.48",11415,QUEENS   ,40.713329,-73.828601,9,29,216,4052812,4022740002,Kew Gardens                                                                
Other,None,,1-Jan-12,1-Jun-10,0,CUNY Solar Mapping Project,Not applicable,CUNY,0,,,,,,,,,,
Comprehensive,Retrofit,Design,,,0,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8,10466,BRONX    ,40.888188,-73.826903,12,12,456,2090261,2049740028,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,Completed,12-Apr-11,7-May-12,391,K383 JHS 383 Philippa Schuyler,1300 Greene Av,DOE,156.59,11237,BROOKLYN ,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North                                                             
Comprehensive,Retrofit,Install,16-Aug-12,,0,K041 - P.S. 041 Francis White,411 Thatford Avenue,DOE,93.69,11212,BROOKLYN ,40.660306,-73.907355,16,42,918,3082389,3036040001,Brownsville                                                                
Comprehensive,Retrofit,Design,,,0,Brooklyn North 1/4 District Garage,161 Varick Ave Brooklyn NY,,"1,351.01",11237,BROOKLYN ,40.711118,-73.928548,1,34,449,3400387,3029620001,East Williamsburg                                                          
Lighting System Upgrade,Retrofit,Completed,5-Jul-11,30-Oct-11,117,Queens Borough Hall,120-55 Queens Blvd,DCAS,124.9,11415,QUEENS   ,40.713329,-73.828601,9,29,216,4052812,4022740002,Kew Gardens                                                                
Energy Audit,None,Completed,16-Feb-11,17-Apr-12,426,P.S.39X,965 Longwood Avenue,DOE,76.78,10459,BRONX    ,40.817512,-73.898212,2,17,87,2005616,2027100001,Longwood                                                                   
HVAC System Upgrade,Retrofit,Install,20-Sep-10,,0,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,0,10028,MANHATTAN,40.778633,-73.962546,64,6,143,1083810,1011110001,park-cemetery-etc-Manhattan                                                
Comprehensive,Retrofit,Design,,,0,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,125.56,10466,BRONX    ,40.884343,-73.840254,12,12,484,2065992,2049160001,Eastchester-Edenwald-Baychester                                            
Other,Retro-commissioning,Survey,,,0,P.S.131K,4305 Fort Hamilton Parkway,DOE,0,11219,BROOKLYN ,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park                                                               
Energy Audit,None,Completed,6-Oct-10,5-Aug-11,303,Randall's Island 5 Borough Complex,1 E 99th Street,DPR,379.19,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,0,New York Hall Of Science - 47-01 111th Street,47-00 111th Street,DCLA,98.31,11368,QUEENS   ,40.747393,-73.853564,4,21,415,,,Corona                                                                     
Other,Retro-commissioning,Proposed,,,0,5 Boro,1 Randalls Island,DPR,0,10035,MANHATTAN,40.794834,-73.921697,11,8,240,1000000,1018190203,park-cemetery-etc-Manhattan                                                
HVAC System Upgrade,Retrofit,Substantially Completed,1-Mar-11,,0,City Center,131 West 55th Street,DCLA,631.14,10019,MANHATTAN,40.763607,-73.979496,5,4,137,1023391,1010080015,Midtown-Midtown South                                                      
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,253,63rd Precinct,1844 BROOKLYN AVENUE,NYPD,12.31,11210,BROOKLYN ,40.628162,-73.941357,18,45,740,3207376,3075990067,Flatlands                                                                  
HVAC System Upgrade,Retrofit,Install,1-Jul-09,,0,Carnegie Hall,881 7th Avenue,DCLA,308.71,10019,MANHATTAN,40.764941,-73.980445,5,4,137,1023449,1010090001,Midtown-Midtown South                                                      
Lighting System Upgrade,Retrofit,Design,,,0,New Explorations into Science Technology and Math (NEST) High School,111 Columbia Street,DOE,87.93,10002,MANHATTAN,40.718895,-73.979308,3,2,2201,1004070,1003350001,Lower East Side                                                            
Other,Retro-commissioning,Survey,,,0,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,0,10469,BRONX    ,40.878577,-73.851163,12,12,386,2060191,2047190001,Eastchester-Edenwald-Baychester                                            
Comprehensive,Retrofit,Install,6-Jan-12,,0,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,267.33,10455,BRONX    ,40.811972,-73.914275,1,8,37,2003692,2025570001,Mott Haven-Port Morris                                                     
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,0,K121 - P.S. 121 Nelson A. Rockefeller,5301 20th Avenue,DOE,37.05,11204,BROOKLYN ,40.623273,-73.978822,12,44,464,3253281,3054951101,Borough Park                                                               
Comprehensive,Retrofit,Design,,,0,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,102.28,10472,BRONX    ,40.829232,-73.856734,9,18,4001,2025717,2037900040,Soundview-Bruckner                                                         
Energy Audit,None,Completed,,,0,Queens Supreme Court,88-11 Sutphin Blvd,DCAS,0,11435,QUEENS   ,40.704623,-73.809151,12,24,238,4207071,4096910001,Jamaica                                                                    
Other,Retro-commissioning,Survey,10-Aug-12,10-Sep-12,31,K287- Bailey K. Ashford,50 Navy Street,DOE,0,11201,BROOKLYN ,40.697901,-73.98054,2,35,23,3000203,3001110001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Comprehensive,Retrofit,Design,,,0,PS 75M Emily Dickinson School,735 West End Avenue,DOE,0,10025,MANHATTAN,40.795157,-73.973292,7,6,183,1034190,1012530065,Upper West Side                                                            
Energy Audit,None,In Progress,14-Aug-12,,0,K191 Paul Robeson,1600 Park Place,DOE,0,11233,BROOKLYN ,40.672005,-73.924329,8,41,359,3036635,3013750012,Crown Heights North                                                        
Lighting System Upgrade,Retrofit,Completed,1-Jul-09,8-Oct-09,99,I.S. 27R,15 Clove Alke Place,DOE,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,5-Mar-09,18-Mar-10,378,Bureau Of Supplies,44-46 VERNON BOULEVARD,DOE,445.19,11101,QUEENS   ,40.749272,-73.95223,2,26,1,4005429,4004890001,Hunters Point-Sunnyside-West Maspeth                                       
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,72,114th Precinct - Photovoltaic,34-16 Astoria Blvd,NYPD,15.77,11103,QUEENS   ,40.769581,-73.915593,1,22,6501,4009361,4006320030,Astoria                                                                    
Comprehensive,Retrofit,Design,,,0,"Kingsborough Community College, T-2 Building",2065 Oriental Blvd,CUNY,43.32,11235,BROOKLYN ,40.578106,-73.933388,15,48,616,3397338,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
Energy Audit,None,Completed,,,0,84th Precinct & Engine Company 207,301 Gold St,DCAS,137.5,11201,BROOKLYN ,40.695447,-73.983228,2,35,15,3000252,3001340006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Install,21-Sep-12,,0,14K380 - 370 Marcy Avenue,370 Marcy Avenue,DOE,121.52,11206,BROOKLYN ,40.702427,-73.952985,1,33,531,3061235,3022360009,Bedford                                                                    
Other,Photovoltaic,Substantially Completed,31-Oct-11,22-Feb-12,114,Brooklyn South 14 - Photovoltaic,1397 Ralph Avenue,DSNY,22.52,11236,BROOKLYN ,40.642674,-73.919717,18,45,960,3221978,3079180145,Canarsie                                                                   
Other,Retro-commissioning,Survey,,,0,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,0,11367,QUEENS   ,40.735275,-73.823778,8,24,809,4448708,4065070001,Kew Gardens Hills                                                          
Energy Audit,None,Completed,,,0,,235 E 21TH ST,NYPD,0,10010,MANHATTAN,40.737173,-73.983174,6,2,64,1019642,1009020022,Gramercy                                                                   
Lighting System Upgrade,Retrofit,Completed,13-May-08,7-Oct-08,147,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,2475 Southern Boulevard,DOE,64.17,10458,BRONX    ,40.855263,-73.881139,6,15,393,2086808,2031150021,Belmont                                                                    
Energy Audit,None,Completed,16-Mar-10,16-Dec-10,275,Park West High School,525 WEST 50TH STREET,DOE,106.04,10019,MANHATTAN,40.765184,-73.992953,4,3,135,1083802,1010790029,Clinton                                                                    
Lighting System Upgrade,Retrofit,Substantially Completed,29-Aug-11,27-Aug-12,364,BMS/QMS Building,59-06 LAUREL HILL BLVD,NYPD,112.24,11377,QUEENS   ,40.736834,-73.906426,2,30,243,4054168,4023440030,Elmhurst-Maspeth                                                           
Lighting System Upgrade,Retrofit,Install,,,0,11X021 - 715 East 225th Street,715 East 225th Street,DOE,39.81,10466,BRONX    ,40.887582,-73.859733,12,12,406,2063435,2048390039,Williamsbridge-Olinville                                                   
Lighting System Upgrade,Retrofit,Design,,,0,Studio Museum In Harlem - 144 West 125th Street,"144 West 125th Street  NY, NY  10027",DCLA,134.65,10027,MANHATTAN,40.808523,-73.947278,10,9,222,1057819,1019090009,Central Harlem South                                                       
Lighting System Upgrade,Retrofit,Completed,26-Jun-09,12-May-10,320,"Bklyn 8, Bklyn 7/10 District Garages","1760 Atlantic Ave, 1755 Pacific Street",DSNY,44.39,11213,BROOKLYN ,40.677494,-73.931969,8,36,309,3330693,3013360018,Crown Heights North                                                        
Energy Audit,None,Completed,20-Apr-11,4-Apr-12,350,Fashion Industries High School,225 West 24th St,DOE,29.57,10011,MANHATTAN,40.745156,-73.996074,4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 
